Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-5.5,4.002,2.602
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-5.2,7.379,2.345
pre_7bt5_lysRS_Compound_108_uff_E=1528.53_uff_E=1528.43,-5.1,6.927,3.357
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-4.6,0.0,0.0
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-4.3,10.005,2.479
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-3.4,3.522,2.884
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-3.4,9.415,2.176
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-3.1,8.879,3.978
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-2.9,9.021,2.537
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-2.8,4.527,3.11
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-2.8,3.284,2.176
pre_7bt5_lysRS_Compound_109_uff_E=850.95_uff_E=850.85,-1.7,10.201,4.655
pre_7bt5_lysRS_Compound_10_uff_E=1734.98_uff_E=1734.95,-9.1,0.0,0.0
pre_7bt5_lysRS_Compound_10_uff_E=1734.98_uff_E=1734.95,-9.0,7.254,3.747
pre_7bt5_lysRS_Compound_10_uff_E=1734.98_uff_E=1734.95,-8.8,7.438,3.679
pre_7bt5_lysRS_Compound_10_uff_E=1734.98_uff_E=1734.95,-8.4,2.762,2.242
pre_7bt5_lysRS_Compound_10_uff_E=1734.98_uff_E=1734.95,-8.2,7.444,4.272
pre_7bt5_lysRS_Compound_10_uff_E=1734.98_uff_E=1734.95,-7.9,3.767,2.93
pre_7bt5_lysRS_Compound_10_uff_E=1734.98_uff_E=1734.95,-7.2,8.2,3.689
pre_7bt5_lysRS_Compound_10_uff_E=1734.98_uff_E=1734.95,-6.8,7.993,3.226
pre_7bt5_lysRS_Compound_10_uff_E=1734.98_uff_E=1734.95,-6.6,7.003,3.701
pre_7bt5_lysRS_Compound_110_uff_E=588.67_uff_E=588.45,-7.2,0.0,0.0
pre_7bt5_lysRS_Compound_110_uff_E=588.67_uff_E=588.45,-6.8,8.324,4.058
pre_7bt5_lysRS_Compound_110_uff_E=588.67_uff_E=588.45,-6.7,8.27,5.348
pre_7bt5_lysRS_Compound_110_uff_E=588.67_uff_E=588.45,-6.7,4.423,3.745
pre_7bt5_lysRS_Compound_110_uff_E=588.67_uff_E=588.45,-6.5,2.629,2.248
pre_7bt5_lysRS_Compound_110_uff_E=588.67_uff_E=588.45,-6.4,3.289,2.916
pre_7bt5_lysRS_Compound_110_uff_E=588.67_uff_E=588.45,-6.2,2.151,1.66
pre_7bt5_lysRS_Compound_110_uff_E=588.67_uff_E=588.45,-6.1,2.398,2.215
pre_7bt5_lysRS_Compound_110_uff_E=588.67_uff_E=588.45,-5.7,8.702,5.018
pre_7bt5_lysRS_Compound_111_uff_E=1420.08_uff_E=1419.74,-8.0,0.0,0.0
pre_7bt5_lysRS_Compound_111_uff_E=1420.08_uff_E=1419.74,-7.8,3.126,2.257
pre_7bt5_lysRS_Compound_111_uff_E=1420.08_uff_E=1419.74,-7.7,7.851,4.401
pre_7bt5_lysRS_Compound_111_uff_E=1420.08_uff_E=1419.74,-7.6,3.062,2.25
pre_7bt5_lysRS_Compound_111_uff_E=1420.08_uff_E=1419.74,-6.6,7.949,4.464
pre_7bt5_lysRS_Compound_111_uff_E=1420.08_uff_E=1419.74,-6.3,7.577,4.054
pre_7bt5_lysRS_Compound_111_uff_E=1420.08_uff_E=1419.74,-5.2,7.007,3.787
pre_7bt5_lysRS_Compound_111_uff_E=1420.08_uff_E=1419.74,-5.0,7.233,4.138
pre_7bt5_lysRS_Compound_112_uff_E=4617.65_uff_E=3627.25,37.6,0.0,0.0
pre_7bt5_lysRS_Compound_112_uff_E=4617.65_uff_E=3627.25,38.3,2.707,1.087
pre_7bt5_lysRS_Compound_113_uff_E=524.99_uff_E=524.79,-8.1,0.0,0.0
pre_7bt5_lysRS_Compound_113_uff_E=524.99_uff_E=524.79,-8.1,9.494,4.17
pre_7bt5_lysRS_Compound_113_uff_E=524.99_uff_E=524.79,-7.9,1.775,1.291
pre_7bt5_lysRS_Compound_113_uff_E=524.99_uff_E=524.79,-7.5,10.01,3.68
pre_7bt5_lysRS_Compound_113_uff_E=524.99_uff_E=524.79,-7.1,9.882,5.252
pre_7bt5_lysRS_Compound_113_uff_E=524.99_uff_E=524.79,-7.1,3.751,2.597
pre_7bt5_lysRS_Compound_113_uff_E=524.99_uff_E=524.79,-7.1,9.17,4.198
pre_7bt5_lysRS_Compound_113_uff_E=524.99_uff_E=524.79,-6.8,4.226,2.768
pre_7bt5_lysRS_Compound_113_uff_E=524.99_uff_E=524.79,-6.7,7.595,3.695
pre_7bt5_lysRS_Compound_114_uff_E=304.92_uff_E=304.84,-7.2,0.0,0.0
pre_7bt5_lysRS_Compound_114_uff_E=304.92_uff_E=304.84,-7.2,8.045,3.095
pre_7bt5_lysRS_Compound_114_uff_E=304.92_uff_E=304.84,-7.1,7.137,2.679
pre_7bt5_lysRS_Compound_114_uff_E=304.92_uff_E=304.84,-7.1,7.248,2.795
pre_7bt5_lysRS_Compound_114_uff_E=304.92_uff_E=304.84,-7.1,2.247,1.223
pre_7bt5_lysRS_Compound_114_uff_E=304.92_uff_E=304.84,-6.9,5.099,2.69
pre_7bt5_lysRS_Compound_114_uff_E=304.92_uff_E=304.84,-6.7,9.952,4.067
pre_7bt5_lysRS_Compound_114_uff_E=304.92_uff_E=304.84,-6.5,3.574,1.626
pre_7bt5_lysRS_Compound_114_uff_E=304.92_uff_E=304.84,-6.4,2.546,1.481
pre_7bt5_lysRS_Compound_115_uff_E=352.37_uff_E=352.17,-7.2,0.0,0.0
pre_7bt5_lysRS_Compound_115_uff_E=352.37_uff_E=352.17,-6.8,5.908,3.756
pre_7bt5_lysRS_Compound_115_uff_E=352.37_uff_E=352.17,-6.8,2.301,1.854
pre_7bt5_lysRS_Compound_115_uff_E=352.37_uff_E=352.17,-6.6,4.195,2.68
pre_7bt5_lysRS_Compound_115_uff_E=352.37_uff_E=352.17,-6.6,1.529,1.056
pre_7bt5_lysRS_Compound_115_uff_E=352.37_uff_E=352.17,-6.6,2.195,1.733
pre_7bt5_lysRS_Compound_115_uff_E=352.37_uff_E=352.17,-6.5,6.048,3.633
pre_7bt5_lysRS_Compound_115_uff_E=352.37_uff_E=352.17,-6.4,5.302,3.415
pre_7bt5_lysRS_Compound_115_uff_E=352.37_uff_E=352.17,-6.4,2.91,1.856
pre_7bt5_lysRS_Compound_116_uff_E=202.15_uff_E=199.11,-8.7,0.0,0.0
pre_7bt5_lysRS_Compound_116_uff_E=202.15_uff_E=199.11,-8.6,3.219,0.29
pre_7bt5_lysRS_Compound_116_uff_E=202.15_uff_E=199.11,-8.4,11.96,6.785
pre_7bt5_lysRS_Compound_116_uff_E=202.15_uff_E=199.11,-8.4,12.108,6.708
pre_7bt5_lysRS_Compound_116_uff_E=202.15_uff_E=199.11,-7.9,8.814,4.422
pre_7bt5_lysRS_Compound_116_uff_E=202.15_uff_E=199.11,-7.4,8.934,5.721
pre_7bt5_lysRS_Compound_116_uff_E=202.15_uff_E=199.11,-7.0,8.74,5.69
pre_7bt5_lysRS_Compound_116_uff_E=202.15_uff_E=199.11,-6.8,9.713,4.787
pre_7bt5_lysRS_Compound_116_uff_E=202.15_uff_E=199.11,-6.6,4.886,3.165
pre_7bt5_lysRS_Compound_117_uff_E=582.86_uff_E=581.02,-4.5,0.0,0.0
pre_7bt5_lysRS_Compound_117_uff_E=582.86_uff_E=581.02,-3.6,7.475,2.643
pre_7bt5_lysRS_Compound_117_uff_E=582.86_uff_E=581.02,-2.4,3.036,1.445
pre_7bt5_lysRS_Compound_117_uff_E=582.86_uff_E=581.02,-2.2,8.404,2.356
pre_7bt5_lysRS_Compound_117_uff_E=582.86_uff_E=581.02,-1.5,4.658,2.58
pre_7bt5_lysRS_Compound_118_uff_E=745.87_uff_E=745.77,-7.4,0.0,0.0
pre_7bt5_lysRS_Compound_118_uff_E=745.87_uff_E=745.77,-6.8,7.338,2.996
pre_7bt5_lysRS_Compound_118_uff_E=745.87_uff_E=745.77,-6.4,4.493,2.199
pre_7bt5_lysRS_Compound_118_uff_E=745.87_uff_E=745.77,-6.1,4.82,2.469
