Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6dsr_ompdc_Compound_11_uff_E=521.17_uff_E=507.57,-6.5,0.0,0.0
pre_6dsr_ompdc_Compound_120_uff_E=631.39_uff_E=620.88,5.5,0.0,0.0
pre_6dsr_ompdc_Compound_120_uff_E=631.39_uff_E=620.88,7.9,3.489,2.235
pre_6dsr_ompdc_Compound_121_uff_E=662.31_uff_E=621.24,-6.5,0.0,0.0
pre_6dsr_ompdc_Compound_121_uff_E=662.31_uff_E=621.24,-5.6,7.958,3.082
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-7.6,0.0,0.0
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-7.5,2.757,1.548
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-7.3,2.705,1.832
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-7.3,2.164,1.683
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-6.8,2.996,1.734
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-6.7,2.165,1.627
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-6.4,7.035,2.455
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-6.0,6.932,2.889
pre_6dsr_ompdc_Compound_122_uff_E=322.36_uff_E=322.27,-4.7,2.49,2.039
pre_6dsr_ompdc_Compound_123_uff_E=528.11_uff_E=466.97,7.2,0.0,0.0
pre_6dsr_ompdc_Compound_123_uff_E=528.11_uff_E=466.97,8.6,27.47,24.076
pre_6dsr_ompdc_Compound_123_uff_E=528.11_uff_E=466.97,9.7,7.214,2.52
pre_6dsr_ompdc_Compound_125_uff_E=96.39_uff_E=96.31,-4.2,0.0,0.0
pre_6dsr_ompdc_Compound_125_uff_E=96.39_uff_E=96.31,-3.9,3.932,2.799
pre_6dsr_ompdc_Compound_125_uff_E=96.39_uff_E=96.31,-3.7,4.932,3.137
pre_6dsr_ompdc_Compound_125_uff_E=96.39_uff_E=96.31,-3.7,29.216,27.507
pre_6dsr_ompdc_Compound_125_uff_E=96.39_uff_E=96.31,-2.8,29.984,28.266
pre_6dsr_ompdc_Compound_125_uff_E=96.39_uff_E=96.31,-2.2,29.399,27.688
pre_6dsr_ompdc_Compound_125_uff_E=96.39_uff_E=96.31,-2.1,2.149,1.711
pre_6dsr_ompdc_Compound_126_uff_E=286.30_uff_E=285.58,8.1,0.0,0.0
pre_6dsr_ompdc_Compound_126_uff_E=286.30_uff_E=285.58,9.3,2.103,1.638
pre_6dsr_ompdc_Compound_126_uff_E=286.30_uff_E=285.58,10.8,1.944,1.476
pre_6dsr_ompdc_Compound_127_uff_E=422.69_uff_E=422.59,-8.2,0.0,0.0
pre_6dsr_ompdc_Compound_127_uff_E=422.69_uff_E=422.59,-7.2,7.467,4.06
pre_6dsr_ompdc_Compound_127_uff_E=422.69_uff_E=422.59,-6.6,28.652,25.999
pre_6dsr_ompdc_Compound_127_uff_E=422.69_uff_E=422.59,-6.3,27.56,25.031
pre_6dsr_ompdc_Compound_128_uff_E=1244.88_uff_E=1236.13,-0.6,0.0,0.0
pre_6dsr_ompdc_Compound_129_uff_E=244.21_uff_E=244.13,22.9,0.0,0.0
pre_6dsr_ompdc_Compound_129_uff_E=244.21_uff_E=244.13,23.9,2.036,1.405
pre_6dsr_ompdc_Compound_129_uff_E=244.21_uff_E=244.13,25.1,7.631,1.85
pre_6dsr_ompdc_Compound_12_uff_E=154.96_uff_E=154.80,-5.7,0.0,0.0
pre_6dsr_ompdc_Compound_12_uff_E=154.96_uff_E=154.80,-2.7,6.667,3.415
pre_6dsr_ompdc_Compound_130_uff_E=321.24_uff_E=321.17,-2.0,0.0,0.0
pre_6dsr_ompdc_Compound_130_uff_E=321.24_uff_E=321.17,-0.1,7.353,1.943
pre_6dsr_ompdc_Compound_131_uff_E=398.41_uff_E=354.34,-5.4,0.0,0.0
pre_6dsr_ompdc_Compound_132_uff_E=1000.18_uff_E=961.31,46.1,0.0,0.0
pre_6dsr_ompdc_Compound_132_uff_E=1000.18_uff_E=961.31,46.5,5.129,2.981
pre_6dsr_ompdc_Compound_132_uff_E=1000.18_uff_E=961.31,46.8,3.465,2.065
pre_6dsr_ompdc_Compound_132_uff_E=1000.18_uff_E=961.31,48.1,1.938,1.275
pre_6dsr_ompdc_Compound_132_uff_E=1000.18_uff_E=961.31,48.6,3.575,2.47
pre_6dsr_ompdc_Compound_132_uff_E=1000.18_uff_E=961.31,48.9,21.028,9.08
pre_6dsr_ompdc_Compound_133_uff_E=300.40_uff_E=300.34,-5.6,0.0,0.0
